	SRR7135606_out	SRR7135607_out	SRR7135608_out	SRR7135612_out
groopm_bin_30	1.427	1.231	0.638	0.093
groopm_bin_34	1.415	1.636	0.031	3.916
groopm_bin_36	36.717	39.122	1.452	13.929
groopm_bin_4	0	0	0	1.045
groopm_bin_43	0.49	0.496	0.058	0.472
groopm_bin_48	0.688	1.126	0.121	4.086
groopm_bin_50	23.274	18.862	89.119	41.233
maxbinout.008_sub	4.333	2.989	1.238	4.713
maxbinout.010_sub	1.8	1.357	0.081	1.822
maxbinout.013_sub	0.932	0.545	0.154	1.01
maxbinout.016_sub	0.081	0.063	0.001	12.268
maxbinout.017	0.254	0.069	0.001	2.838
metabat_bin12	0.117	0.05	0	2.531
metabat_bin21_sub	7.346	6.904	1.003	2.529
metabat_bin25	1.037	1.315	0.391	0.057
metabat_bin5	0.223	0.124	0.007	0.087
solidbin_4270_sub	13.178	17.747	1.419	3.591
solidbin_5229_sub	5.715	5.682	0.468	2.102
unbinned	0.973	0.682	3.819	1.678
