contig	aln_nanopo_out	aln_pacbio_out	MD_3_S11_L001_R_out	SRR7135606_out	SRR7135607_out	SRR7135608_out	SRR7135612_out
opera_contig_1	1.18011	3.51563	0.221108	13.8662	21.0955	0.889212	117.975
opera_contig_2	16.7873	61.2939	101.345	420.426	329.171	637.41	989.593
opera_contig_3	17.4259	11.1302	154.774	500.036	601.506	18.4588	184.029
opera_contig_4	1.66704	1.23335	0.0052172	41.5044	29.7378	1.99812	30.6303
opera_contig_5	0.586319	0.526078	15.2269	8.51577	8.41877	0.277972	11.5176
opera_contig_6	1.98729	1.26325	0	45.059	34.638	3.08266	33.5568
opera_contig_7	2.07278	11.1514	1.58303	34.3228	38.1678	0.306259	123.728
opera_contig_8	3.77745	0.0362183	0.0441128	26.3993	21.182	4.20878	2.31857
opera_contig_9	1.97297	1.33935	2.42046	43.4201	32.57	2.39865	32.4333
opera_contig_10	3.42814	0.0677479	0.000522859	28.8388	23.1793	5.17118	2.42418
opera_contig_11	2.0502	1.34617	0	40.9838	29.7183	2.20358	30.9324
opera_contig_12	2.22481	1.33558	0	44.5881	34.3042	2.47901	32.681
opera_contig_13	0.628096	0.133794	0.63539	19.6657	23.0089	3.02182	1.45878
opera_contig_14	0.446606	0.0903344	0.7514	20.5345	24.4143	3.17407	1.55377
opera_contig_15	17.1733	12.4157	155.279	490.807	595.58	17.6042	181.225
opera_contig_16	2.68775	1.21389	0.000338541	44.2308	32.6464	2.54714	32.0918
opera_contig_17	1.30055	10.3115	1.54749	31.2639	34.0281	0.293067	119.783
opera_contig_18	3.58766	0.156495	0.00277246	26.3877	21.14	4.71294	2.07356
opera_contig_19	17.7184	61.5224	91.4167	408.889	323.921	664.742	1023.25
opera_contig_20	17.1701	10.1574	142.06	461.432	552.311	19.131	161.012
opera_contig_21	0.126329	2.99213	2.13137	5.49555	1.32182	0.00307917	86.0841
opera_contig_22	20.0387	11.8585	161.496	497.725	603.018	17.9088	185.507
opera_contig_23	19.5124	65.0772	110.769	442.929	351.208	436.357	1095.08
opera_contig_24	1.48684	11.1174	1.10428	29.397	32.2331	0.243214	121.326
opera_contig_25	0.304513	1.42947	9.44003	16.11	9.43676	0.83596	21.2968
opera_contig_26	0.481769	1.29997	10.1842	16.9144	9.56737	0.904098	21.6403
opera_contig_27	4.08717	0.102997	0.0402178	25.2147	20.5703	4.47316	2.78121
opera_contig_28	1.02664	1.08186	0.651481	36.3846	25.8528	0.833229	26.6836
opera_contig_29	0.407362	0.0722516	0.469195	20.0244	23.5822	2.89628	1.59875
opera_contig_30	0.938184	1.6993	0.485324	37.6548	26.1757	0.716287	33.3501
opera_contig_31	0.69824	6.32994	1.58165	65.5964	34.4071	0.582542	124.118
opera_contig_32	1.29325	1.61552	0.49266	36.2763	24.3756	0.55766	32.1835
opera_contig_33	0.000947652	22.5426	0.0969095	0.174732	0.144835	0.00730993	282.063
opera_contig_34	1.03646	1.95092	0.691916	36.2285	23.9202	0.494293	33.7885
opera_contig_35	0.00925145	2.77149	0.569079	5.67108	1.23551	0.00390521	84.3564
opera_contig_36	1.62427	1.06282	0.00200484	41.738	30.7288	1.79378	31.6131
opera_contig_37	0.305027	1.4495	17.2358	16.8761	9.82141	1.13005	21.0827
opera_contig_38	11.3728	1.25952	0.329152	264.507	255.924	4.82244	21.0376
opera_contig_39	0.208078	1.49115	11.8516	16.0612	9.39338	0.871355	23.0338
opera_contig_40	1.62084	2.98617	0.210495	14.4417	21.7159	0.958798	119.549
opera_contig_41	0.433946	1.20035	16.6946	15.67	9.39486	1.00797	21.2769
opera_contig_42	0.979089	6.49923	4.72995	71.6826	37.7539	0.696014	131.53
opera_contig_43	15.2543	10.5281	150.228	482.413	586.881	19.8233	169.373
opera_contig_44	0.0739958	0.776111	9.39681	2.09799	0.858259	0	67.2883
opera_contig_45	17.3176	67.0198	105.213	448.467	354.775	786.173	1130.1
opera_contig_46	0.46206	0.403688	12.1296	8.49993	9.10363	0.369454	11.5671
opera_contig_47	0.249984	1.65477	16.1264	16.1486	9.72624	0.869861	21.9488
opera_contig_48	0	2.85835	0.953046	5.25211	1.22006	0.0022967	82.0645
