	input	filtered	denoisedF	denoisedR	merged	nonchim
01_12C2h36f9	57969	49499	49095	48802	46163	34660
01_T1h0	39554	36192	36011	35936	35291	33354
02_12C3h36f9	50277	43070	42697	42393	40408	31408
02_T2h0	39904	36773	36579	36537	35574	34265
03_13C2h36f5	60271	52344	51995	51771	50210	42256
03_T3h0	44800	40758	40552	40407	39878	38095
04_13C2h36f9	62612	53972	53430	53352	50817	40001
04_S1h0	43778	40186	40023	39955	39204	37916
05_13C3h36f5	54439	47381	47046	46958	45536	37534
05_S2h0	40072	36815	36510	36562	35822	34343
06_13C3h36f9	60064	52263	51868	51712	49510	39039
06_S3h0	43886	40612	40430	40376	39396	37823
07_12C1h72f9	45330	39078	38719	38656	36690	29017
07_T1h12	35131	32157	31998	31972	31333	29299
08_12C2h72f9	68272	58538	58037	57799	54882	41651
08_T2h12	39476	36347	36136	36071	35531	34156
09_12C3h72f9	57163	49157	48609	48539	46036	34757
09_T3h12	37860	35023	34840	34779	34295	32995
10_13C1h72f5	60573	52753	52439	52308	51063	45087
10_S1h12	44343	40806	40649	40479	39929	38405
11_13C1h72f9	63170	54348	53881	53717	51045	40497
11_S2h12	42609	39490	39209	39159	38263	36461
12_13C2h72f5	57531	50142	49861	49791	48634	43335
12_S3h12	45496	42271	42048	41961	41023	39175
13_13C2h72f9	54988	47757	47239	47212	44650	35872
13_T1h36	41706	38366	38207	38194	37434	34285
14_13C3h72f5	65561	57479	57242	57020	55700	48360
14_T2h36	32651	30187	30011	29877	29150	27631
15_13C3h72f9	67835	58603	58000	58082	55271	42988
15_T3h36	49459	45422	45186	44989	44173	41878
16_12C1h117f9	66713	57647	57168	57057	54222	41186
16_S1h36	48541	44615	44419	44323	43506	41754
17_12C2h117f9	60364	51872	51340	51192	48205	36115
17_S2h36	40516	37012	36845	36680	35977	34509
18_12C3h117f9	63636	54724	54325	54093	51451	38521
18_S3h36	48724	44438	44080	43913	41718	40117
19_13C1h117f6	57655	50549	50300	50155	49129	43951
19_T1h54	44189	40999	40849	40710	39780	35982
20_13C1h117f9	66090	56496	55990	55900	53183	43507
20_T2h54	45529	41712	41407	41243	40321	37753
21_13C2h117f5	45930	40169	39916	39837	38869	34534
21_T3h54	45709	42115	41739	41679	40657	38606
22_13C2h117f9	53166	45820	45467	45385	43845	39119
22_S1h54	27739	25087	24794	24619	22714	21773
23_13C3h117f5	52210	45510	45161	45168	43756	38168
23_S2h54	41399	38189	37963	37829	36875	35038
24_13C3h117f9	63021	54510	53978	54006	51536	39713
24_S3h54	27031	24801	24667	24538	24021	23149
25_12C1h141f9	61596	53155	52594	52436	49216	35247
25_T1h66	41146	37950	37705	37739	36798	33439
26_12C2h141f9	64814	55641	55210	54912	52326	39094
26_T2h66	47671	43435	43207	43048	42151	39614
27_12C3h141f9	72175	61912	61469	61238	57811	42931
27_T3h66	7035	6466	6391	6382	6225	6179
28_13C1h141f5	35973	31182	30920	30765	29964	27164
28_S1h66	47380	43703	43445	43364	42466	40380
29_13C1h141f9	65356	56435	55884	55800	52943	41149
29_S2h66	44919	41171	41000	40821	39957	38145
30_13C2h141f5	71650	62545	62279	62105	60717	54138
30_S3h66	12551	11683	11589	11605	11419	11199
31_13C2h141f9	83192	70990	70477	70048	66598	51321
31_T1h78	40489	37481	37253	37201	36402	32926
32_13C3h141f5	60634	52820	52547	52339	51239	45063
32_T2h78	50056	46083	45782	45636	44670	42178
33_13C3h141f9	52509	44641	43995	43986	40745	27004
33_T3h78	51108	46751	46395	46289	45091	42623
34_S1h78	45440	42015	41732	41628	40463	38764
35_S2h78	35169	32675	32546	32440	31867	30210
36_S3h78	28788	26526	26318	26147	25529	24753
37_T1h90	38030	34716	34505	34473	33563	29812
38_T2h90	46948	42887	42607	42445	41316	38945
39_T3h90	44641	41047	40735	40538	39301	36900
40_S1h90	47004	43197	42976	42862	41961	39989
41_S2h90	20325	18936	18820	18814	18478	17843
42_S3h90	25610	23610	23450	23400	22915	22096
43_T1h108	43335	39788	39486	39414	38249	34148
44_T2h108	47179	42991	42466	42541	40382	33020
45_T3h108	44410	40917	40509	40402	39307	36808
46_S1h108	46447	42709	42350	42285	41123	39058
47_S2h108	49800	45480	45273	45049	43919	41667
48_S3h108	8682	8127	8089	8077	7953	7802
49_T1h120	41388	37995	37765	37737	36754	33131
50_T2h120	51124	46681	46199	46082	43694	35832
51_T3h120	48292	44603	44290	44055	43097	40141
52_S1h120	50060	45598	45365	45170	44085	42118
53_S2h120	47914	44035	43737	43667	42739	40359
54_S3h120	29942	27586	27431	27292	26799	25520
55_T1h132	40152	37185	36980	36925	35719	30875
56_T2h132	49058	44669	44276	44118	41964	34222
57_T3h132	42722	39169	38835	38596	37369	35009
58_S1h132	48997	44596	44356	44152	43067	40561
59_S2h132	54049	48928	48573	48331	46922	44473
60_S3h132	12753	11817	11753	11754	11576	11238
61_T1h138	22234	20445	20258	20243	19561	18227
62_T2h138	25188	23117	22913	22812	21987	20857
63_T3h138	24421	22435	22259	22167	21528	20619
