cycle	treat	value
1	C1	treat_nb12	40.2018339571825
2	C1	treat_0.01	40.8848625385911
3	C1	treat_1	40.8348974372624
4	C1	treat_100	40.6544821279538
5	C2	treat_nb12	37.9253871603248
6	C2	treat_0.01	30.1760487629956
7	C2	treat_1	34.3579030085125
8	C2	treat_100	34.5518629868678
9	C3	treat_nb12	40.6986323408944
10	C3	treat_0.01	31.2131363333568
11	C3	treat_1	34.3952688791089
12	C3	treat_100	34.4280122655976
13	C4	treat_nb12	41.7106361965782
14	C4	treat_0.01	34.5991945012948
15	C4	treat_1	30.3589204143565
16	C4	treat_100	34.68503294268
