post_inoc	culture	sample1_100	sample2_100	sample3_100	sample1_1	sample2_1	sample3_1	sample1_0.01	sample2_0.01	sample3_0.01	sample1_nb12	sample2_nb12	sample3_nb12
0	C1	103.2991373	96.49674024	100.9768578	101.6048896	100.5781029	98.15498155	100.0809249	94.67680608	101.5431518	102.131761	98.21203438	100
12	C1	109.1499837	104.3581781	105.1748083	101.6772124	106.6237487	104.481615	102.2315452	98.16770024	96.87783259	99.65326951	102.9925333	99.76920214
27	C1	96.86075021	90.97011685	84.64111343	93.20000624	98.98033879	91.51011056	92.07570851	83.8500518	91.8384813	94.54293267	85.54554637	82.5838105
36	C1	71.85847655	69.03101964	71.07209015	76.18400332	74.97810124	67.02637148	73.83166448	70.01878422	73.2978413	65.88992385	65.29316617	71.64697264
47	C1	49.12865036	38.21170266	25.22860162	35.11825116	34.15349133	33.99162979	34.70646595	34.75766971	29.79575527	34.49910123	33.80007196	33.34920472
71	C1	9.673188211	9.537747553	6.193004331	1.078810628	0.518038278	3.859665741	1.054282756	2.671265365	2.084865707	3.523529658	8.129490086	18.54687086
0	C2	101.9215889	98.94071568	107.7635682	101.6345787	105.228434	100.9245983	88.40328253	94.61334512	106.9939536	106.4973337	96.72927696	100
10	C2	92.03179487	96.72116599	96.05480212	104.9575446	105.1004844	109.3693842	100.166953	95.97593117	95.96573193	100.1983089	100.5996521	102.018274
22	C2	84.34856052	89.05828086	83.557025	88.80196969	91.40845631	90.24231285	86.20806251	80.86798056	83.00414688	92.72421138	91.80326644	88.92267539
34	C2	54.00702694	56.60026999	57.10146581	58.03078557	59.53546923	58.30034848	54.54637157	53.63100927	53.898924	66.15182812	72.44410695	67.66060287
46	C2	9.36351067	12.34775213	6.886101845	5.321657134	0.288512713	0.215678409	0.422743168	0.668225021	0.209949563	36.11614567	35.79631425	35.99682078
58	C2	0.566567491	0.597870072	0.595575624	0	0	0	0	0	0	0	0	0
69	C2	0	0.362059911	0	0	0	0	0	0	0	0	0	0
0	C3	98.38144858	102.3321737	101.9131875	100.6804536	102.309417	99.24221922	98.94260496	101.1228355	100.0579426	94.91956341	99.19846105	100
24	C3	73.42095502	76.03255193	75.86401346	75.55297991	82.39774251	82.04953763	77.37269619	80.60800301	81.92355046	83.49070308	84.69529315	79.5603832
34	C3	55.66893147	54.94369562	55.76201708	52.18930958	57.49448576	57.3486107	57.8083058	56.4380008	51.98898185	65.69255727	66.58846774	67.27737093
47	C3	2.479313062	1.386558916	5.403056578	4.741655122	0.936733747	0.477231628	0.109395153	0.085633783	0.096733045	30.44302955	38.76948597	39.46213916
0	C4	97.94650989	97.18620915	100.4009462	99.76429471	95.14705882	88.83920322	105.5809252	100.2950954	109.4573115	97.45442993	101.2058114	100
17	C4	89.96153048	86.93244338	84.28710207	84.16032485	78.25478766	77.49525063	77.33547947	87.87033007	104.4644028	96.13457546	96.39329611	95.49335705
30	C4	72.03251087	71.39888526	71.25010168	70.79036754	67.44176071	63.27429508	65.97782808	70.82109132	70.86901968	82.89721853	87.30468748	88.05407261
43	C4	40.24240488	29.79739295	28.17659162	33.06340076	27.26482405	23.9230203	46.1826612	41.23996121	44.58160032	58.7774217	69.89449478	66.47485191
54	C4	0.139115759	0.125973793	0.044908678	0.068277361	0.063352226	0.041393523	0.097611056	0.073217954	0.052985323	7.750753951	24.14591393	22.87348774
68	C4	0	0.082491536	0.069317895	0.011709795	0	0.042594765	0.040177493	0.064579493	0.032713775	0.022885742	0.033897175	0
