qaccver	sacc	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Bin_13A_Hydrogenophaga_00213	YP_001859407	YP_001859407|Burkholderia_phymatum_STM815|Non	79.587	436	89	0	1	436	1	436	0	744
Bin_13A_Hydrogenophaga_00239	YP_004618786	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	66.501	403	133	2	16	418	7	407	0	572
Bin_13A_Hydrogenophaga_00254	WP_020023984	WP_020023984|gamma_proteobacterium_SCGC_AAA076-D02|Non	28.079	203	120	7	7	203	58	240	3.91E-16	75.9
Bin_13A_Hydrogenophaga_00277	YP_004931580	YP_004931580|Pseudoxanthomonas_spadix_BD-a59|Non	34.158	202	120	8	36	231	7	201	2.83E-23	97.1
Bin_13A_Hydrogenophaga_00315	WP_007296704	WP_007296704|Rhodococcus_imtechensis|Non	30.396	227	126	7	8	210	22	240	3.19E-25	102
Bin_13A_Hydrogenophaga_00368	YP_004618786	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	66.501	403	134	1	15	417	8	409	0	582
Bin_13A_Hydrogenophaga_00382	ZP_01011464	ZP_01011464|Maritimibacter_alkaliphilus_HTCC2654|Non	32.768	177	111	4	14	184	19	193	1.97E-22	94.4
Bin_13A_Hydrogenophaga_00389	AAX18934	AAX18934|Comamonas_testosteroni|Ipt	90.33	424	41	0	1	424	1	424	0	817
Bin_13A_Hydrogenophaga_00849	YP_005043848	YP_005043848|Burkholderia_sp_YI23|Non	77.913	412	91	0	1	412	1	412	0	704
Bin_13A_Hydrogenophaga_01042	YP_001263550	YP_001263550|Sphingomonas_wittichii_RW1|Non	62.83	417	154	1	1	416	2	418	0	559
Bin_13A_Hydrogenophaga_01043	YP_004833904	YP_004833904|Sphingobium_sp_SYK-6|Non	40.774	336	196	3	1	334	1	335	8.67E-91	272
Bin_13A_Hydrogenophaga_01230	WP_007850856	WP_007850856|Acidovorax_sp_CF316|Non	66.333	300	99	2	1	299	1	299	4.72E-136	384
