supergrp	grp	accNo	descr
Phthalate	I	BAE79498	BAE79498|Nocardioides_aromaticivorans|Car
Phthalate	I	GCFA	GCFA|Nocardioides_Aromaticivorans_Ic177|Car
Phthalate	I	YP_003072827	YP_003072827|Teredinibacter_turnerae_T7901|Non
Phthalate	I	BAH60853	BAH60853|bacterium_OC11S|Car
Phthalate	I	BAH60846	BAH60846|bacterium_OC9|Car
Phthalate	I	BAH60859	BAH60859|bacterium_OC13S|Car
Phthalate	I	BAH57734	BAH57734|Lysobacter_sp_OC7|Car
Phthalate	I	YP_008374321	YP_008374321|Cycloclasticus_zancles_7-ME|Non
Phthalate	I	YP_717942	YP_717942|Sphingomonas_sp_KA1|Car
Phthalate	I	3GKQ_A	3GKQ_A|Novosphingobium_sp_Ka1|Car
Phthalate	I	YP_717981	YP_717981|Sphingomonas_sp_KA1|Car
Phthalate	I	ADC31794	ADC31794|Sphingomonas_sp_XLDN2-5|Car
Phthalate	I	ACH98389	ACH98389|Sphingomonas_sp_JS1|Non
Phthalate	I	ACO92627	ACO92627|Burkholderia_sp_JS667|Dpa
Phthalate	I	BAC56726	BAC56726|Pseudomonas_sp_K23|Car
Phthalate	I	BAA31266	BAA31266|Pseudomonas_stutzeri|Car
Phthalate	I	BAC56742	BAC56742|Janthinobacterium_sp_J3|Car
Phthalate	I	BAG30826	BAG30826|Neptuniibacter_sp_CAR-SF|Car
Phthalate	I	WP_016835782	WP_016835782|Herbaspirillum_lusitanum|Non
Phthalate	I	YP_008374316	YP_008374316|Cycloclasticus_zancles_7-ME|Non
Phthalate	II	ZP_06831264	ZP_06831264|Rhodococcus_equi_ATCC_33707|Non
Phthalate	II	WP_018419822	WP_018419822|Burkholderia_sp|Non
Phthalate	II	YP_003607636	YP_003607636|Burkholderia_sp_CCGE1002|Non
Phthalate	II	YP_933465	YP_933465|Azoarcus_sp_BH72|Non
Phthalate	II	CAA73203	CAA73203|Pseudomonas_putida|Odm
Phthalate	II	WP_009868029	WP_009868029|Pseudomonas_sp_Chol1|Non
Phthalate	II	YP_004685601	YP_004685601|Cupriavidus_necator_N-1|Non
Phthalate	II	ZP_03264709	ZP_03264709|Burkholderia_sp_H160|Non
Phthalate	II	YP_284577	YP_284577|Dechloromonas_aromatica_RCB|Non
Phthalate	II	YP_743284	YP_743284|Alkalilimnicola_ehrlichii_MLHE-1|Non
Phthalate	II	WP_010325233	WP_010325233|Marinobacterium_stanieri|Non
Phthalate	II	YP_960483	YP_960483|Marinobacter_aquaeolei_VT8|Non
Phthalate	II	YP_692391	YP_692391|Alcanivorax_borkumensis_SK2|Non
Phthalate	II	ZP_06846198	ZP_06846198|Burkholderia_sp_Ch1-1|Non
Phthalate	II	YP_692392	YP_692392|Alcanivorax_borkumensis_SK2|Non
Phthalate	IV	WP_020865871	WP_020865871|Streptomyces_rapamycinicus|Non
Phthalate	IV	WP_020134935	WP_020134935|Streptomyces_sp_351MFTsu5_1|Non
Phthalate	IV	WP_007731634	WP_007731634|Rhodococcus_qingshengii|Non
Phthalate	IV	WP_004993270	WP_004993270|Streptomyces_ghanaensis|Non
Phthalate	III	YP_716305	YP_716305|Frankia_alni_ACN14a|Non
Phthalate	III	ZP_06414243	ZP_06414243|Frankia_sp_EUN1f|Non
Phthalate	V	YP_923333	YP_923333|Nocardioides_sp_JS614|Non
Phthalate	VI	YP_718166	YP_718166|Sphingomonas_sp_KA1|Non
Phthalate	VI	WP_017183313	WP_017183313|Sphingobium_xenophagum|Non
Phthalate	VI	WP_007436449	WP_007436449|Acetobacteraceae_bacterium_AT-5844|Non
Phthalate	VI	ZP_01014538	ZP_01014538|Maritimibacter_alkaliphilus_HTCC2654|Non
