CONTIG_ID	LENGTH	SHORT_READ_COV	LONG_READ_COV	CLUSTER	SPECIES	NB_STRAIN	REFERENCE_GENOME
opera_contig_1	908179	148.46	5.37	NA	Actinokineospora_album	NA	GCF_900099755.1_genomic.fna.gz
opera_contig_2	842720	2399.50	83.54	NA	0-14-0-80-44-23_sp002779235	NA	GCA_002779235.1_genomic.fna.gz
opera_contig_3	806439	1324.07	30.43	NA	Acidilobus_saccharovorans	NA	GCF_000144915.1_genomic.fna.gz
opera_contig_4	706126	103.81	3.11	NA	CAG-831_sp002317435	NA	GCA_002317435.1_genomic.fna.gz
opera_contig_5	618385	28.65	2.95	NA	20CM-2-65-7_sp003220985	1	GCA_003220985.1_genomic.fna.gz
opera_contig_6	594747	116.72	3.44	NA	AAA261-N23_sp000375685	NA	GCA_000375685.1_genomic.fna.gz
opera_contig_7	571245	195.24	23.34	NA	2-02-FULL-63-19_sp001770415	NA	GCA_001770415.1_genomic.fna.gz
opera_contig_8	533156	57.16	5.94	NA	Actinomyces_sp002999235	NA	GCF_002999235.1_genomic.fna.gz
opera_contig_9	515187	111.73	3.76	NA	Acidianus_copahuensis	NA	GCF_000632495.1_genomic.fna.gz
opera_contig_10	478140	60.88	4.52	NA	Aeromonas_aquatica	NA	GCF_000764655.1_genomic.fna.gz
opera_contig_11	465813	103.47	3.58	NA	Halarcobacter_sp002869565	NA	GCA_002869565.1_genomic.fna.gz
opera_contig_12	453478	114.25	3.77	NA	Anaerobranca_gottschalkii	NA	GCF_900111575.1_genomic.fna.gz
opera_contig_13	433757	48.14	0.87	NA	3-1-20CM-2-70-9_sp001920645	NA	GCA_001920645.1_genomic.fna.gz
opera_contig_14	433290	50.62	0.70	NA	2-02-FULL-50-16_sp001798715	NA	GCA_001798715.1_genomic.fna.gz
opera_contig_15	428828	1298.59	31.79	NA	2-01-FULL-66-17_sp001803875	NA	GCA_001803875.1_genomic.fna.gz
opera_contig_16	425355	111.26	4.05	NA	Chitinophaga_niabensis	NA	GCF_900129465.1_genomic.fna.gz
opera_contig_17	416908	185.50	20.61	NA	3-1-20CM-4-69-9_sp001920085	NA	GCA_001920085.1_genomic.fna.gz
opera_contig_18	383775	56.21	4.77	NA	Achromobacter_bronchiseptica	NA	GCA_000974745.1_genomic.fna.gz
opera_contig_19	422622	2785.10	96.44	NA	Acidovorax_A_konjaci	NA	GCF_900112675.1_genomic.fna.gz
opera_contig_20	338478	1211.18	29.10	NA	40CM-3-55-5_sp003224935	NA	GCA_003224935.1_genomic.fna.gz
opera_contig_21	324438	91.08	4.46	NA	Agrobacterium_rosae	NA	GCF_002915175.1_genomic.fna.gz
opera_contig_22	315044	1313.53	33.96	NA	Achromobacter_pulmonis	1	GCF_002885955.2_genomic.fna.gz
opera_contig_23	311502	2351.55	91.24	NA	DSL-40_sp003241785	NA	GCA_003241785.1_genomic.fna.gz
opera_contig_24	294621	182.40	19.67	NA	Achromobacter_bronchiseptica	NA	GCA_000974745.1_genomic.fna.gz
opera_contig_25	296263	47.66	3.90	NA	Altererythrobacter_B_troitsensis	NA	GCF_001441535.1_genomic.fna.gz
opera_contig_26	283945	48.56	3.61	NA	CAG-485_sp002361215	NA	GCA_002361215.1_genomic.fna.gz
opera_contig_27	290543	55.74	5.05	NA	Acidovorax_D_kalamii	NA	GCF_002245625.1_genomic.fna.gz
opera_contig_28	280444	90.43	2.76	NA	3-1-20CM-4-69-9_sp001920085	NA	GCA_001920085.1_genomic.fna.gz
opera_contig_29	277115	49.00	0.50	NA	An7_sp002161805	NA	GCF_002161805.1_genomic.fna.gz
opera_contig_30	276205	98.05	3.18	NA	Achromobacter_bronchiseptica	NA	GCA_000974745.1_genomic.fna.gz
