qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
MGA_233|TBZ_0002330	YP_004931580|Pseudoxanthomonas_spadix_BD-a59|Non	34.158	202	120	8	32	227	7	201	2.77e-23	97.1
MGA_271|TBZ_0002710	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	66.501	403	133	2	16	418	7	407	0.0	572
MGA_297|TBZ_0002970	YP_001859407|Burkholderia_phymatum_STM815|Non	79.587	436	89	0	1	436	1	436	0.0	744
MGA_828|TBZ_0008280	YP_718166|Sphingomonas_sp_KA1|Non	31.795	195	116	4	4	191	22	206	2.54e-22	94.4
MGA_1174|TBZ_0011740	BAC65426|Sphingomonas_sp_P2|Sa1	51.861	403	192	2	24	426	16	416	9.51e-153	436
MGA_1216|TBZ_0012160	WP_019577944|Curvibacter_lanceolatus|Non	29.493	217	135	6	2	203	21	234	6.32e-21	90.1
MGA_1339|TBZ_0013390	WP_009548783|Burkholderiales_bacterium_JOSHI_001|Non	83.442	308	50	1	1	307	1	308	0.0	544
MGA_3118|TBZ_0031180	WP_018232963|Thioalkalivibrio_thiocyanodenitrificans|Non	32.258	186	114	4	4	181	2	183	1.84e-22	94.4
MGA_3528|TBZ_0035280	WP_007183677|Hydrocarboniphaga_effusa_AP103|Non	99.440	357	2	0	1	357	1	357	0.0	728
MGA_3752|TBZ_0037520	WP_007184080|Hydrocarboniphaga_effusa|Non	100.000	310	0	0	1	310	1	310	0.0	643
MGA_4056|TBZ_0040560	ZP_02360825|Burkholderia_oklahomensis_EO147|Non	33.005	203	119	4	33	227	26	219	1.03e-24	101
MGA_4078|TBZ_0040780	WP_009515010|Hydrogenophaga_sp_PBC|Non	93.674	411	26	0	1	411	1	411	0.0	809
MGA_4106|TBZ_0041060	CBX88679|Hydrogenophaga_sp_PBC|Abs	94.311	457	26	0	1	457	1	457	0.0	902
MGA_4877|TBZ_0048770	YP_001264789|Sphingomonas_wittichii_RW1|Non	64.815	270	94	1	1	270	1	269	7.04e-129	364
MGA_4882|TBZ_0048820	YP_557507|Burkholderia_xenovorans_LB400|Non	34.302	172	106	4	6	173	19	187	1.23e-25	104
MGA_4926|TBZ_0049260	WP_019427433|Limnohabitans_sp_Rim28|Non	84.615	416	60	1	14	425	6	421	0.0	741
MGA_6490|TBZ_0064900	YP_006061644|Thermus_thermophilus_JL-18|Non	34.031	191	120	3	25	209	25	215	8.00e-33	125
MGA_6846|TBZ_0068460	BAH47614|uncultured_bacterium|Bzt	84.842	442	66	1	1	441	1	442	0.0	803
MGA_6953|TBZ_0069530	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	34.135	208	128	6	36	237	20	224	3.35e-33	126
MGA_7045|TBZ_0070450	YP_496513|Novosphingobium_aromaticivorans_DSM_12444|Non	73.477	279	74	0	3	281	2	280	1.02e-157	437
MGA_7668|TBZ_0076680	WP_019577944|Curvibacter_lanceolatus|Non	31.720	186	123	4	12	195	5	188	2.13e-23	97.8
MGA_7670|TBZ_0076700	ZP_01011464|Maritimibacter_alkaliphilus_HTCC2654|Non	32.240	183	109	6	3	177	5	180	5.39e-23	95.9
MGA_8399|TBZ_0083990	WP_009516770|Hydrogenophaga_sp_PBC|Non	93.182	396	27	0	1	396	1	396	0.0	778
MGA_9792|TBZ_0097920	WP_020006750|Salinicoccus_albus|Non	26.961	408	255	14	16	385	12	414	1.98e-35	132
MGA_10180|TBZ_0101800	YP_003839648|Caldicellulosiruptor_obsidiansis_OB47|Non	26.016	369	222	13	122	456	115	466	3.88e-24	101
MGA_10948|TBZ_0109480	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	34.197	193	120	3	52	238	21	212	9.11e-30	117
MGA_11532|TBZ_0115320	WP_007184425|Hydrocarboniphaga_effusa|Non	100.000	275	0	0	1	275	1	275	0.0	557
MGA_11534|TBZ_0115340	WP_007184423|Hydrocarboniphaga_effusa|Non	100.000	455	0	0	1	455	1	455	0.0	949
MGA_11546|TBZ_0115460	WP_007184411|Hydrocarboniphaga_effusa|Non	98.837	344	4	0	6	349	1	344	0.0	698
MGA_11548|TBZ_0115480	WP_007184409|Hydrocarboniphaga_effusa|Non	99.751	402	1	0	19	420	1	402	0.0	833
MGA_14274|TBZ_0142740	WP_009520073|Hydrogenophaga_sp_PBC|Non	96.831	284	9	0	1	284	1	284	0.0	572
MGA_14302|TBZ_0143020	AAB39767|Burkholderia_cepacia|245T	50.450	444	208	3	10	446	21	459	9.70e-154	441
MGA_14309|TBZ_0143090	ZP_03542656|Comamonas_testosteroni_KF-1|Non	74.142	437	113	0	1	437	1	437	0.0	684
