CLUSTER_ID	SHORT_READ_COV	LONG_READ_COV	SPECIES	SIMILARITY	CLUSTER_SIZE	NB_CONTIG	LONGEST_CONTIG	N50	L50	N90	L90	SHORT_READ_NB_CONTIG	SHORT_READ_LONGEST_CONTIG	SHORT_READ_N50	SHORT_READ_L50
cluster_10	139.26	5.26	Hyphomicrobium_sp000384335	0.861428	2110009	6	1342864	1342864	1	103828	3	7	1342864	1342864	1
cluster_23	1618.99	42.27	Hydrocarboniphaga_effusa	0.954645	1745876	3	1007882	1007882	1	238603	3	18	366020	134222	4
cluster_26	137.77	5.55	Hyphomicrobium_sp000384335	0.845777	1315559	2	1007142	1007142	1	308417	2	2	1007142	1007142	1
cluster_15	56.08	6.14	Sphingobium_phenoxybenzoativorans	0.856170	1594145	5	957598	957598	1	205747	3	8	636638	319483	2
cluster_13	780.80	29.50	Hydrogenophaga_intermedia	0.861428	985352	3	915026	915026	1	915026	1	23	192400	112285	4
cluster_21	1663.53	43.28	Hydrocarboniphaga_effusa	0.970577	2757909	4	1142057	826866	2	652351	3	33	410292	160865	6
cluster_6	762.95	28.04	Hydrogenophaga_intermedia	0.890669	2643570	4	1024300	688863	2	274109	4	44	246535	139610	8
cluster_5	2551.72	83.52	Sphingobium_cloacae	0.802708	1051688	3	678097	678097	1	365761	2	4	678097	678097	1
cluster_9	245.55	13.82	Thiobacillus_sp001899765	0.852293	2357611	7	716023	669695	2	330822	4	29	641994	177472	4
cluster_3	92.91	4.16	Shinella_sp001652565	0.843381	832883	3	593734	593734	1	208674	2	4	593734	593734	1
cluster_1	792.68	30.27	Hydrogenophaga_intermedia	0.840854	1075795	4	593561	593561	1	67778	3	20	350959	107438	3
cluster_22	209.32	17.69	Thiobacillus_denitrificans_A	0.863052	1826644	4	855266	422286	2	367621	3	32	260669	113749	6
cluster_14	282.84	33.16	Hydrogenophaga_palleronii	0.817731	731789	4	388139	388139	1	295773	2	22	148286	61175	4
cluster_12	243.69	26.22	Hydrogenophaga_sp001713375	0.864620	4831842	14	1834129	379639	3	178711	10	129	339089	86813	16
cluster_11	41.23	5.19	Sphingopyxis_terrae	0.886177	749128	7	375414	375414	1	69760	3	11	375414	375414	1
cluster_18	231.29	26.86	Hydrogenophaga_sp001713375	0.832312	1169204	7	403432	375006	2	280121	3	34	143202	69917	6
cluster_8	1383.48	34.09	Afipia_sp001897905	0.835338	1347901	4	506720	353829	2	145583	4	4	506720	353829	2
cluster_24	92.84	4.25	Shinella_sp001652565	0.832312	514472	5	333735	333735	1	41942	3	5	333735	333735	1
cluster_25	1110.24	35.61	Sphingopyxis_terrae	0.857991	1152855	13	360819	326724	2	46637	6	16	326724	284178	2
cluster_19	94.90	3.96	Shinella_sp001652565	0.892342	3789396	22	454072	313907	6	107453	13	46	454072	229002	6
cluster_7	1575.26	41.38	Hydrocarboniphaga_effusa	0.919252	585329	4	307600	307600	1	76211	3	11	164282	68577	3
cluster_17	1253.16	28.14	Afipia_clevelandensis	0.857991	510915	3	287722	287722	1	54246	3	4	287722	287722	1
cluster_4	28.63	5.58	Sphingopyxis_sp001427085	0.817731	480887	3	287673	287673	1	183998	2	3	287673	287673	1
cluster_16	65.12	6.79	Novosphingobium_capsulatum	0.880091	1017891	5	477705	254390	2	251634	3	8	396363	254390	2
cluster_2	30.97	6.76	Sphingopyxis_terrae	0.859742	261940	2	201281	201281	1	60659	2	2	201281	201281	1
unclustered	255.90	11.12	NA	NA	62770558	5250	908179	86958	145	4600	1730	6212	633517	54834	224
cluster_20	8.67	7.88	Hydrogenophaga_intermedia	0.817731	159745	7	59817	34054	2	11450	5	11	59817	34054	2
