bin,uniqueBacSCGs,redundantBacSCGs,uniqueArcSCGs,redundantArcSCGs,bacRatio,arcRatio,size,contigs,N50,binScore,SCG_completeness,SCG_redundancy
groopm_bin_48,51,0,11,0,1,0.289473684210526,4405645,7,1007142,1,100,0
groopm_bin_36,51,0,9,0,1,0.236842105263158,5371622,21,826866,1,100,0
solidbin_5229_sub,51,0,10,0,1,0.263157894736842,5154451,28,688863,1,100,0
maxbinout.008_sub,51,0,9,0,1,0.236842105263158,3596708,29,669695,1,100,0
groopm_bin_30,51,0,11,0,1,0.289473684210526,4672448,16,477705,1,100,0
metabat_bin21_sub,51,0,11,0,1,0.289473684210526,4127259,23,465813,1,100,0
groopm_bin_50,51,0,10,0,1,0.263157894736842,3855412,22,422622,1,100,0
groopm_bin_43,51,0,11,0,1,0.289473684210526,3482555,28,219318,1,100,0
maxbinout.013_sub,51,0,12,0,1,0.315789473684211,3910079,62,172230,1,100,0
metabat_bin25,51,0,11,1,1,0.289473684210526,3613201,40,162573,1,100,2.63
maxbinout.017,51,0,10,0,1,0.263157894736842,6620865,83,143460,1,100,0
metabat_bin12,51,0,11,1,1,0.289473684210526,3592037,53,123301,1,100,2.63
solidbin_4270_sub,50,0,10,0,0.980392156862745,0.263157894736842,4848604,41,353829,0.9804,98.04,0
metabat_bin5,50,0,9,0,0.980392156862745,0.236842105263158,6995018,430,23380,0.9804,98.04,0
maxbinout.010_sub,51,1,10,0,1,0.263157894736842,6174436,51,280444,0.9784,100,1.96
maxbinout.016_sub,48,2,10,0,0.941176470588235,0.263157894736842,6217115,58,375006,0.8966,94.12,3.92
groopm_bin_34,41,0,10,0,0.803921568627451,0.263157894736842,5017680,24,367621,0.8039,80.39,0
groopm_bin_4,34,0,10,0,0.666666666666667,0.263157894736842,5488211,645,13054,0.6667,66.67,0
unbinned,42,27,10,5,0.823529411764706,0.263157894736842,13227547,3737,6708,0.0947,82.35,52.94
